measurement_id,physical_object_id,object_id,match_status,frozen_redshift,published_redshift,frozen_log_mbh_msun_std,published_log_mbh_msun_std,frozen_log_mbh_err_plus_std,published_log_mbh_err_plus_std,frozen_log_mbh_err_minus_std,published_log_mbh_err_minus_std,position_check_arcsec,frozen_v1_measurements_required_fedd_seed1e2,frozen_v1_measurements_growth_pressure_tier,frozen_v1_measurements_rank_global_navigation,frozen_v1_measurements_prob_required_fedd_seed1e2_gt_1,frozen_v1_measurements_required_fedd_seed1e2_p16,frozen_v1_measurements_required_fedd_seed1e2_p84,published_values_keep_unmatched_required_fedd_seed1e2,published_values_keep_unmatched_growth_pressure_tier,published_values_keep_unmatched_rank_global_navigation,published_values_keep_unmatched_prob_required_fedd_seed1e2_gt_1,published_values_keep_unmatched_required_fedd_seed1e2_p16,published_values_keep_unmatched_required_fedd_seed1e2_p84,delta_log_mbh_dex
J0910202812910_baccus26,HZA-J0910-2028-12910,J0910_2028_12910,exact_id,6.6214,6.6214,8.58,8.54,0.01,0.0024,0.01,0.0024,0.0,1.0527834773194107,high,6,1.0,1.0511878546493318,1.0543919905977515,1.0463835777612378,high,6,1.0,1.046000628320419,1.0467696209480397,-0.040000000000000924
J0910202814306_baccus26,HZA-J0910-2028-14306,J0910_2028_14306,exact_id,6.6334,6.6334,6.03,6.02,0.0421,0.0617,0.0664,0.0441,0.0,0.6465227517366644,low,93,0.0,0.635987604268813,0.6532558241408184,0.6449184769184594,low,95,0.0,0.6379214889164674,0.654786186356376,-0.010000000000000675
JADES118010013268_baccus26,HZA-JADES-1180-10013268,JADES_1180_10013268,exact_id,4.0395,4.0395,5.81,5.77,0.0287,0.0406,0.0425,0.0289,0.0,0.30864280106175873,low,237,0.0,0.30522323807883334,0.3109820260064765,0.3054024566936563,low,237,0.0,0.303077153865267,0.3087116041764277,-0.040000000000000036
JADES118016375_baccus26,HZA-JADES-1180-16375,JADES_1180_16375,exact_id,4.4374,4.4374,6.21,6.2,0.0446,0.052,0.0561,0.047,0.0,0.3852620844465602,low,221,0.0,0.38028599776054545,0.38945910035353676,0.3843469726070197,low,221,0.0,0.380178058627649,0.3892403543819699,-0.009999999999999787
JADES118128746_baccus26,HZA-JADES-1181-28746,JADES_1181_28746,absent_from_published_table,4.4126,,5.51,,0.0296,,0.0379,,36.84240947618655,0.31884668576673514,low,236,0.0,0.3153586643214336,0.32155246640809654,0.31884668576673514,low,236,0.0,0.3153586643214336,0.32155246640809654,
JADES118139353_baccus26,HZA-JADES-1181-39353,JADES_1181_39353,exact_id,4.8475,4.8475,5.96,5.92,0.0322,0.0426,0.0454,0.0338,0.0,0.40768660009210744,low,216,0.0,0.4029808860153891,0.4109933080341751,0.4035685536265306,low,217,0.0,0.40006518059144075,0.4079432666182102,-0.040000000000000036
JADES118168797_baccus26,HZA-JADES-1181-68797,JADES_1181_68797,exact_id,5.0397,5.0397,7.82,7.82,0.01,0.0024,0.01,0.0029,0.0,0.6316511297950157,medium,60,0.0,0.6305615907899649,0.6327130545334578,0.6316511297950157,medium,60,0.0,0.631335163483551,0.6319059917322419,0.0
JADES118172127_baccus26,HZA-JADES-1181-72127,JADES_1181_72127,exact_id,4.1438,4.1438,6.7,6.72,0.0254,0.0397,0.0384,0.0446,0.0,0.393414852444753,low,220,0.0,0.39030230732249643,0.3955510329880246,0.39508895819983697,low,220,0.0,0.3914738667297161,0.3984277915686512,0.019999999999999574
JADES118178773_baccus26,HZA-JADES-1181-78773,JADES_1181_78773,exact_id,5.1876,5.1876,5.78,5.8,0.0156,0.0351,0.0282,0.0182,0.0,0.42684211367579866,low,206,0.0,0.4236288780658167,0.4285799589555056,0.42910053755768124,low,205,0.0,0.4270267471994659,0.43301068943702153,0.019999999999999574
RUBIES4233119559_baccus26,HZA-RUBIES-4233-119559,RUBIES_4233_119559,exact_id,4.0885,4.0885,6.39,6.37,0.05,0.0444,0.0477,0.053,0.0,0.36116767942380057,low,226,0.0,0.3572243465293925,0.3652504614228059,0.3595222685836011,low,226,0.0,0.3551407875898144,0.36314777899871786,-0.019999999999999574
RUBIES4233148866_baccus26,HZA-RUBIES-4233-148866,RUBIES_4233_148866,exact_id,5.2226,5.2226,6.37,6.35,0.0242,0.0292,0.0296,0.0257,0.0,0.49805951011568134,low,169,0.0,0.49474688651090787,0.5008424688194751,0.4957800615567994,low,170,0.0,0.49290389849454674,0.49913801172831906,-0.020000000000000462
RUBIES4233166271_baccus26,HZA-RUBIES-4233-166271,RUBIES_4233_166271,exact_id,5.0758,5.0758,6.4,6.38,0.0438,0.0422,0.0444,0.0468,0.0,0.482217610435192,low,182,0.0,0.4773207252543317,0.4869385528436558,0.480025712205941,low,183,0.0,0.4748641305288181,0.48457420009720076,-0.020000000000000462
RUBIES423317604_baccus26,HZA-RUBIES-4233-17604,RUBIES_4233_17604,exact_id,5.5002,5.5002,6.19,6.21,0.023,0.0232,0.0239,0.0245,0.0,0.5131875548729048,low,161,0.0,0.5102455668410539,0.5158987434087139,0.51563713747373,low,157,0.0,0.5126212920017491,0.5183719015620243,0.019999999999999574
RUBIES423324210_baccus26,HZA-RUBIES-4233-24210,RUBIES_4233_24210,exact_id,6.2712,6.2712,6.22,6.12,0.039,0.046,0.049,0.0403,0.0,0.6233778426396748,low,103,0.0,0.6162295589551845,0.6290313721558487,0.6086058558472655,low,107,0.0,0.6027267572251235,0.615274121430445,-0.09999999999999964
RUBIES423341683_baccus26,HZA-RUBIES-4233-41683,RUBIES_4233_41683,exact_id,4.2792,4.2792,5.75,5.7,0.0341,0.0525,0.061,0.0382,0.0,0.32724612380517715,low,233,0.0,0.3220416766762338,0.33026775537355063,0.32288284215444146,low,234,0.0,0.3196236637884475,0.32753491421718656,-0.04999999999999982
RUBIES423342658_baccus26,HZA-RUBIES-4233-42658,RUBIES_4233_42658,exact_id,4.71,4.71,6.56,6.54,0.0224,0.0214,0.0215,0.023,0.0,0.45164611215861894,low,194,0.0,0.4495318596853887,0.4538569934278214,0.44966520815792327,low,196,0.0,0.4474034496981887,0.4517773893704649,-0.019999999999999574
RUBIES423342803_baccus26,HZA-RUBIES-4233-42803,RUBIES_4233_42803,exact_id,7.1522,7.1522,7.36,7.3,0.0482,0.0489,0.0528,0.0515,0.0,0.9627727034303004,medium,25,0.0,0.9533892631476418,0.971330714352672,0.9519953970486178,medium,28,0.0,0.9428429884395854,0.960677694436667,-0.0600000000000005
RUBIES423348449_baccus26,HZA-RUBIES-4233-48449,RUBIES_4233_48449,absent_from_published_table,4.8174,,5.59,,0.068,,0.114,,93.5706860354339,0.36650312590881245,low,225,0.0,0.35517003962598526,0.37353841434446106,0.36650312590881245,low,225,0.0,0.35517003962598526,0.37353841434446106,
RUBIES423354059_baccus26,HZA-RUBIES-4233-54059,RUBIES_4233_54059,absent_from_published_table,4.3567,,5.59,,0.048,,0.0591,,38.32372370493188,0.3207087034567714,low,235,0.0,0.31540977000230125,0.3249938020975333,0.3207087034567714,low,235,0.0,0.31540977000230125,0.3249938020975333,
RUBIES4233925921_baccus26,HZA-RUBIES-4233-925921,RUBIES_4233_925921,exact_id,6.9448,6.9448,7.45,7.45,0.0281,0.0295,0.0306,0.0292,0.0,0.9363391404819448,medium,24,0.0,0.9311321159797146,0.9412288227878107,0.9363391404819448,medium,24,0.0,0.9313703458589014,0.9414724368528717,0.0
VALENTINO35671552_baccus26,HZA-VALENTINO-3567-1552,VALENTINO_3567_1552,exact_id,4.8376,4.8376,7.2,7.2,0.01,0.0078,0.01,0.0085,0.0,0.5338712410219412,low,144,0.0,0.5328479068369406,0.5349088185223635,0.5338712410219412,low,144,0.0,0.5330014069646908,0.5346805514722706,0.0
VALENTINO3567262_baccus26,HZA-VALENTINO-3567-262,VALENTINO_3567_262,exact_id,4.0116,4.0116,7.72,7.62,0.01,0.0083,0.01,0.0086,0.0,0.4592817048711276,low,192,0.0,0.4585024440134795,0.4601002644241912,0.45125230443631775,low,194,0.0,0.4505821400987404,0.4519317088653606,-0.09999999999999964
VALENTINO356744330_baccus26,HZA-VALENTINO-3567-44330,VALENTINO_3567_44330,exact_id,5.1308,5.1308,6.63,6.57,0.0241,0.0265,0.028,0.0241,0.0,0.5149729595302851,low,157,0.0,0.5119476193239415,0.5176476726442438,0.5082994438560265,low,165,0.0,0.5056954903212808,0.5112405184419149,-0.05999999999999961
VALENTINO356751909_baccus26,HZA-VALENTINO-3567-51909,VALENTINO_3567_51909,exact_id,4.6262,4.6262,7.49,7.49,0.01,0.0025,0.01,0.0024,0.0,0.5308807697085018,low,147,0.0,0.5299036595164349,0.5318504015976504,0.5308807697085018,low,147,0.0,0.5306462632624058,0.5311231776807889,0.0
