batch_id,evidence_family,source_key,status,admission_module,object_class,object_classes,notes
v3-mazzolari-nlagn,narrow_line_agn_candidates,mazzolari24_ceers_nlagn,v3_dataset_layer,src.internal.heterogeneous_v3_additions,narrow_line_agn_candidate,narrow_line_agn_candidate,Twenty-five new z>=4 CEERS candidates after excluding CEERS-1019 and CEERS-1244.
v3-meow,miri_sed_agn_candidates,meow26_miri_agn,v3_dataset_layer,src.internal.heterogeneous_v3_additions,photometric_agn_candidate,photometric_agn_candidate,Twelve newly identified JWST/MIRI AGN candidates; four prior AGN are excluded.
v3-smiles,miri_sed_agn_candidates,lyu24_smiles_miri_agn,v3_dataset_layer,src.internal.heterogeneous_v3_additions,photometric_agn_candidate,photometric_agn_candidate,Nineteen new z>4 JWST/MIRI candidates after excluding the existing FRESCO broad-line object MIRI 1104.
v3-ghz9,xray_and_high_ionization_candidate,napolitano25_ghz9,v3_dataset_layer,src.internal.heterogeneous_v3_additions,xray_agn_candidate,xray_agn_candidate,One JWST-confirmed z=10.145 Chandra counterpart; assumed-Eddington mass is observable-only.
v3-zhang-narrow-lrd,narrow_line_lrd_candidates,zhang25_narrow_line_lrds,v3_dataset_layer,src.internal.heterogeneous_v3_additions,narrow_line_agn_candidate,narrow_line_agn_candidate,Five compact narrow-line LRD candidates; BH upper limits are observable-only.
v3-ghz2,model_supported_high_ionization_candidate,chavezortiz26_ghz2,v3_dataset_layer,src.internal.heterogeneous_v3_additions,high_ionization_line_candidate,high_ionization_line_candidate,One z=12.34 composite source requiring an AGN component in the source model; assumed-Eddington mass is observable-only.
v3-mascia-blue-ble,compact_blue_broad_line_emitters,mascia26_compact_blue_ble,v3_dataset_layer,src.internal.heterogeneous_v3_additions,broad_line_agn,broad_line_agn,Eight new compact blue broad-line emitters after twelve existing-object/alias exclusions; retained at candidate evidence tier.
v2-baccus-census,broad_balmer_line,baccus26_nirspec_blagn,v2_dataset_layer,src.internal.canonical_mass_additions,broad_line_agn,broad_line_agn,"Forty-nine new z>=4 non-cluster objects with numerical virial masses; thirteen cluster-field rows excluded for unresolved lensing, including three replaced by GLIMPSE measurements."
v2-glimpse,broad_balmer_line,fei26_glimpse_blagn,v2_dataset_layer,src.internal.canonical_mass_additions,broad_line_agn,broad_line_agn,"Ten lensed broad-Halpha AGN with source-reported magnification corrections, including eight secure and two tentative objects."
v3-treiber-uv,high_ionization_line_candidates,treiber25_uncover_uv_emitters,v3_dataset_layer,src.internal.heterogeneous_v3_additions,high_ionization_line_candidate,high_ionization_line_candidate,Two new z>=4 He II-selected narrow-line candidates after lower-redshift and existing-object exclusions.
v3-mom-bhstar1,gas_enshrouded_accretor_candidate,naidu26_mom_bhstar1,v3_dataset_layer,src.internal.heterogeneous_v3_additions,broad_line_agn,broad_line_agn,One broad-Hbeta gas-enshrouded candidate; model-dependent scaling masses are observable-only.
v3-nexus-wfss,heterogeneous_broad_line_agn_and_lrd,zhuang25_nexus_wfss,v3_dataset_layer,src.internal.v3_completion_additions,broad_line_agn,broad_line_agn,Fifteen z>=4 measurements add fourteen objects; twelve have canonical masses and NX10835 resolves to the existing Mascia candidate.
v3-cosmos3d,heterogeneous_broad_line_agn_and_lrd,lin25_cosmos3d_blagn,v3_dataset_layer,src.internal.v3_completion_additions,broad_line_agn,broad_line_agn,Thirteen new z>=5 broad-Halpha/Hbeta objects with canonical virial masses; mixed red and blue phenotypes keep the whole source in v3.
v3-seven-wonders,high_ionization_line_candidates,napolitano25_seven_wonders,v3_dataset_layer,src.internal.v3_completion_additions,high_ionization_line_candidate,high_ionization_line_candidate,GHZ4 and GHZ7 add two high-ionization candidates without canonical masses; GHZ9 is already represented.
