catalogue_release,measurement_id,physical_object_id,host_system_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference,identity_resolution_status
v7.5-accreting-atlas-catalogue,DC848185a_ren25,HZA-DC-848185-A,HZS-DC-848185,True,only catalogue measurement for this physical object,singleton assignment after coordinate-redshift search,no v6 candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,DC848185b_ren25,HZA-DC-848185-B,HZS-DC-848185,True,only catalogue measurement for this physical object,singleton assignment after coordinate-redshift search,no v6 candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,DC873321_ren25,HZA-DC-873321,HZS-DC-873321,True,only catalogue measurement for this physical object,singleton assignment after coordinate-redshift search,no v6 candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GLASS150029_harikane23,HZA-GLASS-150029,HZS-GLASS-150029,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GLASS160133_harikane23,HZA-GLASS-160133,HZS-GLASS-160133,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GN1093_juodzbalis25,HZA-GN-1093,HZS-GN-1093,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN11836_juodzbalis25,HZA-GN-11836,HZS-GN-11836,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN20621_juodzbalis25,HZA-GN-20621,HZS-GN-20621,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN38509_juodzbalis25,HZA-GN-38509,HZS-GN-38509,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN4685_juodzbalis25,HZA-GN-4685,HZS-GN-4685,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN53757_juodzbalis25,HZA-GN-53757,HZS-GN-53757,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN61888_juodzbalis25,HZA-GN-61888,HZS-GN-61888,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN62309_juodzbalis25,HZA-GN-62309,HZS-GN-62309,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN73488_juodzbalis25,HZA-GN-73488,HZS-GN-73488,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN77652_juodzbalis25,HZA-GN-77652,HZS-GN-77652,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GN954_juodzbalis25,HZA-GN-954,HZS-GN-954,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0002-2550_shen19,HZA-GNIRS50-J0002-2550,HZS-GNIRS50-J0002-2550,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0008-0626_shen19,HZA-GNIRS50-J0008-0626,HZS-GNIRS50-J0008-0626,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0028-0457_shen19,HZA-XQR30-PSO-J007-04,HZS-XQR30-PSO-J007-04,False,v7.1 XQR-30 measurement retained as preferred; GNIRS measurement preserved as alternate,reviewed literature identity,v7.2 reviewed identity registry,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0033-0125_shen19,HZA-GNIRS50-J0033-0125,HZS-GNIRS50-J0033-0125,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0050-3445_shen19,HZA-GNIRS50-J0050-3445,HZS-GNIRS50-J0050-3445,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0055-0146_shen19,HZA-GNIRS50-J0055-0146,HZS-GNIRS50-J0055-0146,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0136-0226_shen19,HZA-GNIRS50-J0136-0226,HZS-GNIRS50-J0136-0226,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0203-0012_shen19,HZA-GNIRS50-J0203-0012,HZS-GNIRS50-J0203-0012,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0221-0802_shen19,HZA-GNIRS50-J0221-0802,HZS-GNIRS50-J0221-0802,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0227-0605_shen19,HZA-GNIRS50-J0227-0605,HZS-GNIRS50-J0227-0605,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0300-2232_shen19,HZA-GNIRS50-J0300-2232,HZS-GNIRS50-J0300-2232,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0353-0104_shen19,HZA-GNIRS50-J0353-0104,HZS-GNIRS50-J0353-0104,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0810-5105_shen19,HZA-GNIRS50-J0810-5105,HZS-GNIRS50-J0810-5105,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0835-3217_shen19,HZA-GNIRS50-J0835-3217,HZS-GNIRS50-J0835-3217,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0836-0054_shen19,HZA-XQR30-SDSS-J0836-0054,HZS-XQR30-SDSS-J0836-0054,False,v7.1 XQR-30 measurement retained as preferred; GNIRS measurement preserved as alternate,reviewed literature identity,v7.2 reviewed identity registry,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0840-5624_shen19,HZA-GNIRS50-J0840-5624,HZS-GNIRS50-J0840-5624,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0841-2905_shen19,HZA-GNIRS50-J0841-2905,HZS-GNIRS50-J0841-2905,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0842-1218_shen19,HZA-XQR30-SDSS-J0842-1218,HZS-XQR30-SDSS-J0842-1218,False,v7.1 XQR-30 measurement retained as preferred; GNIRS measurement preserved as alternate,reviewed literature identity,v7.2 reviewed identity registry,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0850-3246_shen19,HZA-GNIRS50-J0850-3246,HZS-GNIRS50-J0850-3246,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J0927-2001_shen19,HZA-XQR30-SDSS-J0927-2001,HZS-XQR30-SDSS-J0927-2001,False,v7.1 XQR-30 measurement retained as preferred; GNIRS measurement preserved as alternate,reviewed literature identity,v7.2 reviewed identity registry,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1044-0125_shen19,HZA-GNIRS50-J1044-0125,HZS-GNIRS50-J1044-0125,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1137-3549_shen19,HZA-GNIRS50-J1137-3549,HZS-GNIRS50-J1137-3549,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1143-3808_shen19,HZA-GNIRS50-J1143-3808,HZS-GNIRS50-J1143-3808,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1148-0702_shen19,HZA-GNIRS50-J1148-0702,HZS-GNIRS50-J1148-0702,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1148-5251_shen19,HZA-GNIRS50-J1148-5251,HZS-GNIRS50-J1148-5251,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1207-0630_shen19,HZA-GNIRS50-J1207-0630,HZS-GNIRS50-J1207-0630,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1243-2529_shen19,HZA-GNIRS50-J1243-2529,HZS-GNIRS50-J1243-2529,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1250-3130_shen19,HZA-GNIRS50-J1250-3130,HZS-GNIRS50-J1250-3130,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1257-6349_shen19,HZA-GNIRS50-J1257-6349,HZS-GNIRS50-J1257-6349,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1335-3533_shen19,HZA-GNIRS50-J1335-3533,HZS-GNIRS50-J1335-3533,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1403-0902_shen19,HZA-GNIRS50-J1403-0902,HZS-GNIRS50-J1403-0902,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1425-3254_shen19,HZA-GNIRS50-J1425-3254,HZS-GNIRS50-J1425-3254,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1427-3312_shen19,HZA-GNIRS50-J1427-3312,HZS-GNIRS50-J1427-3312,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1429-5447_shen19,HZA-GNIRS50-J1429-5447,HZS-GNIRS50-J1429-5447,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1436-5007_shen19,HZA-GNIRS50-J1436-5007,HZS-GNIRS50-J1436-5007,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1545-6028_shen19,HZA-GNIRS50-J1545-6028,HZS-GNIRS50-J1545-6028,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1602-4228_shen19,HZA-GNIRS50-J1602-4228,HZS-GNIRS50-J1602-4228,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1609-3041_shen19,HZA-GNIRS50-J1609-3041,HZS-GNIRS50-J1609-3041,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1621-5155_shen19,HZA-GNIRS50-J1621-5155,HZS-GNIRS50-J1621-5155,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1623-3112_shen19,HZA-GNIRS50-J1623-3112,HZS-GNIRS50-J1623-3112,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J1630-4012_shen19,HZA-GNIRS50-J1630-4012,HZS-GNIRS50-J1630-4012,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J2307-0031_shen19,HZA-GNIRS50-J2307-0031,HZS-GNIRS50-J2307-0031,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J2310-1855_shen19,HZA-XQR30-SDSS-J2310-1855,HZS-XQR30-SDSS-J2310-1855,False,v7.1 XQR-30 measurement retained as preferred; GNIRS measurement preserved as alternate,reviewed literature identity,v7.2 reviewed identity registry,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J2329-0403_shen19,HZA-GNIRS50-J2329-0403,HZS-GNIRS50-J2329-0403,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-J2356-0023_shen19,HZA-GNIRS50-J2356-0023,HZS-GNIRS50-J2356-0023,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-P000-26_shen19,HZA-GNIRS50-P000-26,HZS-GNIRS50-P000-26,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-P060-24_shen19,HZA-XQR30-PSO-J060-24,HZS-XQR30-PSO-J060-24,False,v7.1 XQR-30 measurement retained as preferred; GNIRS measurement preserved as alternate,reviewed literature identity,v7.2 reviewed identity registry,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-P210-27_shen19,HZA-GNIRS50-P210-27,HZS-GNIRS50-P210-27,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-P228-21_shen19,HZA-GNIRS50-P228-21,HZS-GNIRS50-P228-21,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GNIRS50-P333-26_shen19,HZA-GNIRS50-P333-26,HZS-GNIRS50-P333-26,True,only atlas measurement for this physical object,singleton assignment after coordinate-redshift search,no v7.1 candidate within 0.5 arcsec and delta-z 0.01 and no manual identity assertion,resolved
v7.5-accreting-atlas-catalogue,GOODSN12839_matthee23,HZA-GOODS-N-12839,HZS-GOODS-N-12839,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GOODSN13733_matthee23,HZA-GOODS-N-13733,HZS-GOODS-N-13733,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GOODSN14409_matthee23,HZA-GOODS-N-14409,HZS-GOODS-N-14409,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GOODSN15498_matthee23,HZA-GOODS-N-15498,HZS-GOODS-N-15498,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GOODSN16813_matthee23,HZA-GOODS-N-16813,HZS-GOODS-N-16813,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GOODSN4014_matthee23,HZA-GOODS-N-4014,HZS-GOODS-N-4014,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GOODSN9771_matthee23,HZA-GOODS-N-9771,HZS-GOODS-N-9771,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,GOODSS13971_matthee23,HZA-GS-204851,HZS-GS-204851,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v7.5-accreting-atlas-catalogue,GS10013704_juodzbalis25,HZA-GS-10013704,HZS-GS-10013704,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS159717_juodzbalis25,HZA-GS-159717,HZS-GS-159717,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS164055_juodzbalis25,HZA-GS-164055,HZS-GS-164055,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS172975_juodzbalis25,HZA-GS-172975,HZS-GS-172975,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS20030333_juodzbalis25,HZA-GS-20030333,HZS-GS-20030333,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS20057765_juodzbalis25,HZA-GS-20057765,HZS-GS-20057765,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS200679_juodzbalis25,HZA-GS-200679,HZS-GS-200679,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS204851_juodzbalis25,HZA-GS-204851,HZS-GS-204851,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS210600_juodzbalis25,HZA-GS-210600,HZS-GS-210600,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS30148179_juodzbalis25,HZA-GS-30148179,HZS-GS-30148179,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS38562_juodzbalis25,HZA-GS-38562,HZS-GS-38562,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,GS8083_juodzbalis25,HZA-GS-8083,HZS-GS-8083,True,only catalogue measurement in this release,singleton assignment,v1 catalogue,resolved
v7.5-accreting-atlas-catalogue,J010012446_matthee23,HZA-J0100-12446,HZS-J0100-12446,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,J010015157_matthee23,HZA-J0100-15157,HZS-J0100-15157,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,J010016221_matthee23,HZA-J0100-16221,HZS-J0100-16221,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,J01002017_matthee23,HZA-J0100-2017,HZS-J0100-2017,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,J0109M3047BHAE1_lin24,HZA-J0109M3047-BHAE-1,HZS-J0109M3047-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,J014812884_matthee23,HZA-J0148-12884,HZS-J0148-12884,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,J01484214_matthee23,HZA-J0148-4214,HZS-J0148-4214,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,J0148976_matthee23,HZA-J0148-976,HZS-J0148-976,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,J0218P0007BHAE1_lin24,HZA-J0218P0007-BHAE-1,HZS-J0218P0007-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v7.5-accreting-atlas-catalogue,J0224M4711BHAE1_lin24,HZA-J0224M4711-BHAE-1,HZS-J0224M4711-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
