catalogue_release,catalogue_view,stratum_type,stratum_value,n_rows,n_measurements_represented,n_physical_objects,redshift_min,redshift_max,log_mbh_min,log_mbh_median,log_mbh_max,n_lrd,n_non_lrd,n_lrd_not_reported,stratum_identity_basis,demographic_inference_allowed,selection_function_note
expanded-blagn-v1,measurement,survey_field,CEERS/EGS,5,5,5,4.478,6.0,6.75,7.29,7.82,2,3,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,measurement,survey_field,JADES/not_reported,23,23,23,4.133,8.913,6.06,7.33,8.57,0,0,23,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,measurement,survey_field,RUBIES/EGS,14,14,14,4.222,6.685,6.49,7.355,8.3,7,7,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,measurement,survey_field,RUBIES/UDS,18,18,18,4.0,6.778,6.43,7.175,8.06,8,10,0,measurement-row metadata,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,overall,all,59,60,59,4.0,8.913,6.06,7.29,8.57,17,19,23,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive only: mixes JADES and CEERS/RUBIES selection functions
expanded-blagn-v1,physical_object,source,juodzbalis25_jades_blagn,23,23,23,4.133,8.913,6.06,7.33,8.57,0,0,23,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,source,taylor24_ceers_rubies_blagn,36,37,36,4.0,6.778,6.43,7.225,8.3,17,19,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,survey,CEERS,4,4,4,4.478,6.0,6.75,7.445,7.82,2,2,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,survey,JADES,23,23,23,4.133,8.913,6.06,7.33,8.57,0,0,23,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,survey,RUBIES,32,33,32,4.0,6.778,6.43,7.1850000000000005,8.3,15,17,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,field,EGS,18,19,18,4.222,6.685,6.49,7.355,8.3,9,9,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,field,UDS,18,18,18,4.0,6.778,6.43,7.175,8.06,8,10,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,field,not_reported,23,23,23,4.133,8.913,6.06,7.33,8.57,0,0,23,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,lrd_phenotype,lrd,17,17,17,4.13,6.685,6.62,7.39,8.3,17,0,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,lrd_phenotype,non_lrd,19,20,19,4.0,6.778,6.43,6.9,8.06,0,19,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,lrd_phenotype,not_reported_by_source,23,23,23,4.133,8.913,6.06,7.33,8.57,0,0,23,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,survey_field,CEERS/EGS,4,4,4,4.478,6.0,6.75,7.445,7.82,2,2,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,survey_field,JADES/not_reported,23,23,23,4.133,8.913,6.06,7.33,8.57,0,0,23,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,survey_field,RUBIES/EGS,14,15,14,4.222,6.685,6.49,7.355,8.3,7,7,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
expanded-blagn-v1,physical_object,survey_field,RUBIES/UDS,18,18,18,4.0,6.778,6.43,7.175,8.06,8,10,0,preferred-measurement metadata; n_measurements_represented includes linked alternates,False,descriptive stratum only: no cross-source completeness correction or demographic pooling
