catalogue_release,catalogue_view,ranking_id,physical_object_id,object_id,measurement_id,source_key,survey,field,redshift,evidence_status,primary_growth_ranking_flag,ranking_population,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,quality_flag,detection_evidence,mbh_method,source_caveat_tags,detection_confidence_tier,detection_confidence_score_0_100,mass_measurement_reliability_tier,mass_measurement_reliability_score_0_100,source_virial_sensitivity_note,full_ranking_role,primary_ranking_role,rank_growth_pressure,rank_primary_growth_pressure,rank_uncertainty_pressure,rank_primary_uncertainty_pressure,physical_pressure_score_0_100,req_fedd_seed1e2_z30_eps0p1_b1,physical_growth_pressure_tier,measurement_confidence_tier,lrd_status,preferred_measurement_reason
v5-blagn,physical_object,HZA-RUBIES-UDS-807469,HZA-RUBIES-UDS-807469,RUBIES-UDS-807469,RUBIESUDS807469_taylor24,taylor24_ceers_rubies_blagn,RUBIES,UDS,6.778,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,11,10,11,10,59.3788636079503,0.8995229948944198,medium,high,non_lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-UDS-139709,HZA-RUBIES-UDS-139709,RUBIES-UDS-139709,RUBIESUDS139709_taylor24,taylor24_ceers_rubies_blagn,RUBIES,UDS,5.685,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,12,11,12,11,55.06849887950944,0.7544645467223257,medium,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-CEERS-397,HZA-CEERS-397,CEERS-397,CEERS397_taylor24,taylor24_ceers_rubies_blagn,CEERS,EGS,6.0,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,13,12,13,12,51.24852742210535,0.7759667460501792,medium,high,non_lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GS-210600,HZA-GS-210600,GS-210600,GS210600_juodzbalis25,juodzbalis25_jades_blagn,JADES,,6.306,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,,robust,individual_robust,single-epoch-virial-halpha,,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,14,13,17,16,50.44952775615923,0.8056392872456205,medium,high,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GOODS-N-12839,HZA-GOODS-N-12839,GOODS-N-12839,GOODSN12839_matthee23,matthee23_eiger_fresco_blagn,FRESCO,GOODS-N,5.241,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,Matthee statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,15,14,14,13,49.66178080837816,0.6883071405476705,medium,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-UDS-172350,HZA-RUBIES-UDS-172350,RUBIES-UDS-172350,RUBIESUDS172350_taylor24,taylor24_ceers_rubies_blagn,RUBIES,UDS,5.58,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,16,15,15,14,45.70091490751154,0.7098892624248124,medium,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GS-10013704,HZA-GS-10013704,GS-10013704,GS10013704_juodzbalis25,juodzbalis25_jades_blagn,JADES,,5.919,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,,robust,individual_robust,single-epoch-virial-halpha,,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,17,16,21,20,44.011877560996815,0.7392417802995618,medium,high,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GS-204851,HZA-GS-204851,GS-204851,GS204851_juodzbalis25,juodzbalis25_jades_blagn,JADES,,5.48,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,lrd,robust,individual_robust,single-epoch-virial-halpha,,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,18,17,22,21,43.498403254841364,0.6921076590789973,medium,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-UDS-47509,HZA-RUBIES-UDS-47509,RUBIES-UDS-47509,RUBIESUDS47509_taylor24,taylor24_ceers_rubies_blagn,RUBIES,UDS,5.673,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,19,18,16,15,42.6757926461835,0.7087184893455124,medium,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-J1526M2050-BHAE-2,HZA-J1526M2050-BHAE-2,J1526M2050-BHAE-2,J1526M2050BHAE2_lin24,lin24_aspire_blagn,ASPIRE,J1526M2050,4.8708,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust,high,90,high,90,ASPIRE statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,20,19,18,17,41.95748325542656,0.6289741623543484,medium,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-UDS-174752,HZA-RUBIES-UDS-174752,RUBIES-UDS-174752,RUBIESUDS174752_taylor24,taylor24_ceers_rubies_blagn,RUBIES,UDS,6.039,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,21,20,19,18,39.901128773527915,0.7356806631993589,medium,high,non_lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-J0910M0414-BHAE-1,HZA-J0910M0414-BHAE-1,J0910M0414-BHAE-1,J0910M0414BHAE1_lin24,lin24_aspire_blagn,ASPIRE,J0910M0414,4.9102,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust,high,90,high,90,ASPIRE statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,22,21,23,22,38.4358140366125,0.6222507640065763,medium,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-UDS-182791,HZA-RUBIES-UDS-182791,RUBIES-UDS-182791,RUBIESUDS182791_taylor24,taylor24_ceers_rubies_blagn,RUBIES,UDS,4.718,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,23,22,20,19,37.06979553803169,0.6015792497775773,medium,high,non_lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GOODS-N-16813,HZA-GOODS-N-16813,GOODS-N-16813,GOODSN16813_matthee23,matthee23_eiger_fresco_blagn,FRESCO,GOODS-N,5.355,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,Matthee statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,24,23,24,23,35.98060416495162,0.6548561599143871,medium,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-J1148-18404,HZA-J1148-18404,J1148-18404,J114818404_matthee23,matthee23_eiger_fresco_blagn,EIGER,J1148,5.011,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,halpha_absorption_fit;redshifted_absorption_50_km_s;narrow_flux_absorption_degenerate;formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,robust_with_measurement_caveat,75,Matthee statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,25,24,25,24,35.864250363386525,0.6235190547868262,medium,robust_with_measurement_caveat,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-EGS-60935,HZA-RUBIES-EGS-60935,RUBIES-EGS-60935,RUBIESEGS60935_taylor24,taylor24_ceers_rubies_blagn,RUBIES,EGS,5.287,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,26,25,30,29,35.07100749587441,0.645669392381483,low,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GOODS-N-15498,HZA-GOODS-N-15498,GOODS-N-15498,GOODSN15498_matthee23,matthee23_eiger_fresco_blagn,FRESCO,GOODS-N,5.086,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,Matthee statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,27,26,26,25,35.00557106208485,0.6275083827356964,low,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-J0923P0402-BHAE-1,HZA-J0923P0402-BHAE-1,J0923P0402-BHAE-1,J0923P0402BHAE1_lin24,lin24_aspire_blagn,ASPIRE,J0923P0402,4.8688,probable_accreting_mbh,True,primary_evidence_supported,robust_broad_line_with_recorded_outflow_or_absorption_interpretive_caveat,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,two_broad_components_total_profile_used_for_mass;blueshifted_halpha_absorption_586_km_s;absorption_interpretation_uncertain;formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust,high,90,robust_with_interpretive_caveat,70,ASPIRE statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,28,27,28,27,34.757214055781475,0.6079125973182067,low,robust_with_interpretive_caveat,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-CEERS-2782,HZA-CEERS-2782,RUBIES-EGS-50052,RUBIESEGS50052_taylor24,taylor24_ceers_rubies_blagn,RUBIES,EGS,5.24,probable_accreting_mbh,True,primary_evidence_supported,robust_broad_line_with_recorded_outflow_or_absorption_interpretive_caveat,type1_broad_line,broad_halpha,compact_source,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;duplicate_observation;possible_outflow_contribution;source_preferred_duplicate_measurement,high,90,robust_with_interpretive_caveat,70,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,29,28,37,36,34.27998488577171,0.6388921781959334,low,robust_with_interpretive_caveat,non_lrd,preferred duplicate: higher-S/N RUBIES spectrum adopted by Taylor et al.
v5-blagn,physical_object,HZA-J0229M0808-BHAE-2,HZA-J0229M0808-BHAE-2,J0229M0808-BHAE-2,J0229M0808BHAE2_lin24,lin24_aspire_blagn,ASPIRE,J0229M0808,5.0369,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust,high,90,high,90,ASPIRE statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,30,29,29,28,34.06136389103368,0.6203272541303377,low,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GOODS-N-4014,HZA-GOODS-N-4014,GOODS-N-4014,GOODSN4014_matthee23,matthee23_eiger_fresco_blagn,FRESCO,GOODS-N,5.228,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,Matthee statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,31,30,31,30,33.9833800731075,0.6368735258141983,low,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GS-30148179,HZA-GS-30148179,GS-30148179,GS30148179_juodzbalis25,juodzbalis25_jades_blagn,JADES,,5.922,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,,robust,individual_robust,single-epoch-virial-halpha,,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,32,31,27,26,33.02182276046942,0.696261873125633,low,high,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-CEERS-746,HZA-CEERS-746,CEERS-746,CEERS746_taylor24,taylor24_ceers_rubies_blagn,CEERS,EGS,5.623,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd;red_agn;compact_source,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,33,32,32,31,32.69403819299052,0.668332393394149,low,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-UDS-29813,HZA-RUBIES-UDS-29813,RUBIES-UDS-29813,RUBIESUDS29813_taylor24,taylor24_ceers_rubies_blagn,RUBIES,UDS,5.44,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,34,33,36,35,32.23637437660409,0.6500812153876583,low,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GN-61888,HZA-GN-61888,GN-61888,GN61888_juodzbalis25,juodzbalis25_jades_blagn,JADES,,5.874,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,,robust,individual_robust,single-epoch-virial-halpha,,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,35,34,33,32,31.45438949048337,0.6774526738858004,low,high,not_reported_by_source,only catalogue measurement in this release
v5-blagn,physical_object,HZA-J2002M3013-BHAE-1,HZA-J2002M3013-BHAE-1,J2002M3013-BHAE-1,J2002M3013BHAE1_lin24,lin24_aspire_blagn,ASPIRE,J2002M3013,4.9461,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_and_lbol_uncorrected_for_dust,high,90,high,90,ASPIRE statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,36,35,41,40,31.227072390651937,0.6040960093951534,low,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-GOODS-N-13733,HZA-GOODS-N-13733,GOODS-N-13733,GOODSN13733_matthee23,matthee23_eiger_fresco_blagn,FRESCO,GOODS-N,5.236,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,Matthee statistical errors and +/-0.5 dex calibration scenarios are separate,exploratory_diagnostic,included_evidence_supported,37,36,39,38,30.96698859075819,0.6279250940567935,low,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-EGS-37124,HZA-RUBIES-EGS-37124,RUBIES-EGS-37124,RUBIESEGS37124_taylor24,taylor24_ceers_rubies_blagn,RUBIES,EGS,5.682,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,38,37,40,39,30.345947477906094,0.6641513697348731,low,high,lrd,only catalogue measurement in this release
v5-blagn,physical_object,HZA-RUBIES-UDS-19521,HZA-RUBIES-UDS-19521,RUBIES-UDS-19521,RUBIESUDS19521_taylor24,taylor24_ceers_rubies_blagn,RUBIES,UDS,5.669,secure_accreting_mbh,True,primary_evidence_supported,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,robust,individual_robust,single-epoch-virial-halpha-reines2013,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,high,90,high,90,not_applicable_or_recorded_in_source_specific_columns,exploratory_diagnostic,included_evidence_supported,39,38,34,33,30.167026909881468,0.6620043229185776,low,high,non_lrd,only catalogue measurement in this release
