measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,redshift_kind,survey,field,source_table,object_class,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,selection_criteria,source_caveat_tags,published_aliases,log_mstar,log_lbol,mstar_method,lbol_method,agn_fraction,selection_value,log_mbh_context_low,log_mbh_context_high,log_mbh_context,log_mbh_upper_limit,beta_uv,beta_opt,conditional_mass_flag,conditional_mass_reason,lensing_status,lensing_mu,lensing_mass_correction_status,lensing_provenance
CEERS1561_mazzolari24,CEERS-1561,mazzolari24_ceers_nlagn,,,6.1965,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.68,45.45,source SED fit,narrow-line bolometric correction,,M1 M2,,,,,,,,,,,,
CEERS1605_mazzolari24,CEERS-1605,mazzolari24_ceers_nlagn,,,4.6305,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.69,45.07,source SED fit,narrow-line bolometric correction,,R3S2 M1 M2,,,,,,,,,,,,
CEERS1658_mazzolari24,CEERS-1658,mazzolari24_ceers_nlagn,,,4.6035,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.65,44.95,source SED fit,narrow-line bolometric correction,,He2N2,,,,,,,,,,,,
CEERS1732_mazzolari24,CEERS-1732,mazzolari24_ceers_nlagn,,,4.6598,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,10.02,45.28,source SED fit,narrow-line bolometric correction,,R3O1,,,,,,,,,,,,
CEERS1746_mazzolari24,CEERS-1746,mazzolari24_ceers_nlagn,,,4.5602,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,9.08,45.32,source SED fit,narrow-line bolometric correction,,M1 M2,,,,,,,,,,,,
CEERS1767_mazzolari24,CEERS-1767,mazzolari24_ceers_nlagn,,,4.5455,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,9.28,,source SED fit,narrow-line bolometric correction,,M2,,,,,,,,,,,,
CEERS1836_mazzolari24,CEERS-1836,mazzolari24_ceers_nlagn,,,4.4694,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,candidate,source-tentative narrow-line diagnostic selection,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,source_tentative;diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.44,44.93,source SED fit,narrow-line bolometric correction,,R3S2,,,,,,,,,,,,
CEERS2168_mazzolari24,CEERS-2168,mazzolari24_ceers_nlagn,,,5.6541,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,9.4,,source SED fit,narrow-line bolometric correction,,M2,,,,,,,,,,,,
CEERS4210_mazzolari24,CEERS-4210,mazzolari24_ceers_nlagn,,,5.2549,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics;high_ionization_line,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.69,45.45,source SED fit,narrow-line bolometric correction,,Ne4,,,,,,,,,,,,
CEERS44804_mazzolari24,CEERS-44804,mazzolari24_ceers_nlagn,,,5.508,spec,CEERS JWST/NIRSpec,EGS,Table 3,narrow_line_agn_candidate,probable,selected by at least one published narrow-line diagnostic,type2_narrow_line,narrow_line_diagnostics,,JWST/NIRSpec medium-resolution CEERS narrow-line AGN diagnostic selection at z>=4,diagnostic_boundaries_overlap_extreme_star_formation;coordinates_not_in_source_table;no_canonical_bh_mass,,8.54,44.79,source SED fit,narrow-line bolometric correction,,M1,,,,,,,,,,,,
GN8224_meow26,GN-8224,meow26_miri_agn,189.139221,62.235697,5.303,spec,MEOW JWST/MIRI,GOODS-N,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,type2_narrow_line,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,"N-7496, S2, N2GN_1_01, GN10",,46.23,,CIGALE SKIRTOR accretion_power,0.66,,,,,,,,,,,,,
GN11419_meow26,GN-11419,meow26_miri_agn,189.287911,62.217458,5.1,phot,MEOW JWST/MIRI,GOODS-N,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,unknown,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,,,45.08,,CIGALE SKIRTOR accretion_power,0.29,,,,,,,,,,,,,
GN13928_meow26,GN-13928,meow26_miri_agn,189.235613,62.20205,5.182,spec,MEOW JWST/MIRI,GOODS-N,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,type2_narrow_line,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,"N-2663, S3, N2GN_1_23, GN15",,46.43,,CIGALE SKIRTOR accretion_power,0.65,,,,,,,,,,,,,
GN96071_meow26,GN-96071,meow26_miri_agn,189.105789,62.188837,5.162,spec,MEOW JWST/MIRI,GOODS-N,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,type2_narrow_line,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,,,45.36,,CIGALE SKIRTOR accretion_power,0.56,,,,,,,,,,,,,
GN102397_meow26,GN-102397,meow26_miri_agn,189.326121,62.263051,4.54,phot,MEOW JWST/MIRI,GOODS-N,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,unknown,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,,,45.54,,CIGALE SKIRTOR accretion_power,0.56,,,,,,,,,,,,,
GN104946_meow26,GN-104946,meow26_miri_agn,189.32041,62.233585,5.188,spec,MEOW JWST/MIRI,GOODS-N,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,type2_narrow_line,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,N-7162,,45.19,,CIGALE SKIRTOR accretion_power,0.25,,,,,,,,,,,,,
GN903_meow26,GN-903,meow26_miri_agn,189.198327,62.297038,7.0337,spec,MEOW JWST/MIRI,GOODS-N,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,type2_narrow_line,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,,,45.88,,CIGALE SKIRTOR accretion_power,0.66,,,,,,,,,,,,,
GN6404_meow26,GN-6404,meow26_miri_agn,189.244312,62.247537,5.215,spec,MEOW JWST/MIRI,GOODS-N,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,type2_narrow_line,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,"N2GN_1_13, GN32",,44.64,,CIGALE SKIRTOR accretion_power,0.12,,,,,,,,,,,,,
GS18381_meow26,GS-18381,meow26_miri_agn,53.069023,-27.807192,4.99,spec,MEOW JWST/MIRI,GOODS-S,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,type2_narrow_line,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,,,45.65,,CIGALE SKIRTOR accretion_power,0.44,,,,,,,,,,,,,
GS20329_meow26,GS-20329,meow26_miri_agn,53.067411,-27.812397,4.56,phot,MEOW JWST/MIRI,GOODS-S,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,unknown,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,,,45.59,,CIGALE SKIRTOR accretion_power,0.97,,,,,,,,,,,,,
GS39981_meow26,GS-39981,meow26_miri_agn,53.094685,-27.865169,4.86,phot,MEOW JWST/MIRI,GOODS-S,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,unknown,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,,,44.96,,CIGALE SKIRTOR accretion_power,0.31,,,,,,,,,,,,,
GS185980_meow26,GS-185980,meow26_miri_agn,53.097177,-27.76877,4.703,spec,MEOW JWST/MIRI,GOODS-S,Table 1,photometric_agn_candidate,candidate,new MIRI SED-selected AGN or composite in the source paper,type2_narrow_line,photometric_sed,,JWST/MIRI F1000W/F2100W hot-dust SED selection at z=4.5-7.2,sed_decomposition_candidate;some_fagn_values_are_composite;no_canonical_bh_mass,,,45.73,,CIGALE SKIRTOR accretion_power,0.96,,,,,,,,,,,,,
SMILESMIRI195_lyu24,SMILES-MIRI-195,lyu24_smiles_miri_agn,53.1377716,-27.85757,4.23,phot,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,8.64,43.14297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI239_lyu24,SMILES-MIRI-239,lyu24_smiles_miri_agn,53.0916335,-27.853412,5.44,phot,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,11.61,45.422971929104804,Prospector SED fit,MIRI AGN SED component,,oxooxxxx,,,,,,,,,,,,
SMILESMIRI728_lyu24,SMILES-MIRI-728,lyu24_smiles_miri_agn,53.16197,-27.819145,4.5,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,9.09,42.60297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI1171_lyu24,SMILES-MIRI-1171,lyu24_smiles_miri_agn,53.1390362,-27.784439,4.67,phot,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,9.83,42.662971929104806,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI1486_lyu24,SMILES-MIRI-1486,lyu24_smiles_miri_agn,53.1707935,-27.762313,5.26,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,9.37,43.10297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI1652_lyu24,SMILES-MIRI-1652,lyu24_smiles_miri_agn,53.1682879,-27.742041,4.12,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,9.55,42.25297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2041_lyu24,SMILES-MIRI-2041,lyu24_smiles_miri_agn,53.1021939,-27.860942,4.15,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,9.32,43.22297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2100_lyu24,SMILES-MIRI-2100,lyu24_smiles_miri_agn,53.1264884,-27.85266,6.08,phot,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,7.56,42.99297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2202_lyu24,SMILES-MIRI-2202,lyu24_smiles_miri_agn,53.1476271,-27.842047,5.4,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,8.74,42.80297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2241_lyu24,SMILES-MIRI-2241,lyu24_smiles_miri_agn,53.1127004,-27.838266,5.21,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,7.98,42.702971929104805,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2265_lyu24,SMILES-MIRI-2265,lyu24_smiles_miri_agn,53.1462743,-27.83461,5.16,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,7.8,42.48297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
